case_id,layer,kind,flow_id,tags,seed.path,seed.scenario,seed.match,seed.resp,seed.is_sequence,call.method,call.url,call.headers,call.body.meta.bright_uid,call.body.meta.request_id,call.body.data.flow_id,call.body.data.kyc_type,call.body.data.client,call.expect_status,call2.method,call2.url,call2.headers,call2.expect_status,call2.delay_ms,call2.body.meta.bright_uid,call2.body.meta.request_id,call2.body.data.flow_id,call2.body.data.kyc_type,call3.method,call3.url,call3.headers,call3.expect_status,call3.delay_ms,call3.body.meta.bright_uid,call3.body.meta.request_id,call3.body.data.flow_id,call3.body.data.kyc_type,call3.body.data.client,call3.body.data.in_sync,call3.body.data.additional_data_params.persona_kyc_verified,call3.body.data.additional_data_params.ssn,call3.body.data.additional_data_params.address,call3.body.data.additional_data_params.city,call3.body.data.additional_data_params.state_short,call3.body.data.additional_data_params.zip,call4.method,call4.url,call4.headers,call4.expect_status,call4.delay_ms,call4.body.meta.bright_uid,call4.body.meta.request_id,call4.body.data.flow_id,call4.body.data.kyc_type,call4.body.data.client,call4.body.data.in_sync,call4.body.data.additional_data_params.ssn,call4.body.data.additional_data_params.address,call4.body.data.additional_data_params.city,call4.body.data.additional_data_params.state_short,call4.body.data.additional_data_params.zip,repeat.same_flow_id,repeat.distinct_ids,repeat.concurrent,resp.status,resp.body,db.host,db.database,db.delay_ms,db1.table,db1.where,db1.expect,db2.table,db2.where,db2.expect,db3.table,db3.where,db3.expect,db4.table,db4.where,db4.expect,calls,notes
PA-001,5-BusinessE2E,e2e,flow-{{uuid:flow}},pa-screening,/vendor/idology/verify,idology-pass-clear,,"status=200;format=xml;raw=<?xml version=""1.0""?><response><id-number>3571500001</id-number><summary-result><key>id.success</key><message>PASS</message></summary-result><results><key>result.match</key><message>ID Located</message></results></response>",,POST,http://10.0.63.105/api/v1/kyc/start,Content-Type=application/json,{{uuid:uid}},{{uuid:rid}},flow-{{uuid:flow}},DM,app,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,error=null;data.flow_id=not_null,,brightmomey_uks_2,8000,kyc_pa_screening_results,flow_id=flow-{{uuid:flow}},screening_source=IDOLOGY_IQ_REUSED;screening_status=COMPLETED;pa_hit=False;pa_review_required=False;primary_provider=IDOLOGY;pa_request_id=3571500001;pa_pii_fingerprint=not_null,idology_kyc_verification,flow_id=flow-{{uuid:flow}},pa_determined=True;pa_restriction_present=False;pa_pii_fingerprint=not_null,uks_kyc_flow,flow_id=flow-{{uuid:flow}},status=PASSED,,,,/api/v1/users/get_user_profile_data/=1;/vendor/idology/verify=1,"IDology PASS + clear watch list -> reuse IQ screening, no standalone call."
PA-001,,,,,/api/v1/users/get_user_profile_data/,usm-profile-default,,"status=200;raw={""bright_uid"":""{{uuid:uid}}"",""primary_email"":""john@example.com"",""primary_phonenum"":""+11234567890"",""first_name"":""John"",""last_name"":""Doe"",""date_of_birth"":""1990-05-15"",""is_kyc_verified"":false,""zip_code"":""78701"",""address"":{""address_type"":""bright"",""manual_address"":{""apt"":"""",""zip"":""78701"",""city"":""Austin"",""state"":{""long_name"":""Texas"",""short_name"":""TX""},""street"":""123 Main St""}},""ssn_encrypted"":""gAAAAABqQnJ4S7_gd7u2iaMV_8jNjzBVe4mkZcJVYDdxDbjrKQj6cvjhPR9Avyo2VKbuE8efqeBjeZIZugYZY23qE8EoKeh7fg=="",""ip"":""192.168.1.1"",""age"":35,""acquired_on"":""IOS_APP"",""is_deleted"":false,""error"":{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-002,5-BusinessE2E,e2e,flow-{{uuid:flow}},pa-screening,/vendor/idology/verify,idology-pass-hit,,"status=200;format=xml;raw=<?xml version=""1.0""?><response><id-number>3571500002</id-number><summary-result><key>id.success</key><message>PASS</message></summary-result><results><key>result.match</key><message>ID Located</message></results><restriction><key>global.watch.list</key><message>Patriot Act Alert</message><pa><list>OFAC SDN</list><score>100</score><record-type>Individual</record-type></pa><pa><list>UK HM TREASURY LIST</list><score>100</score><record-type>Entity</record-type></pa></restriction></response>",,POST,http://10.0.63.105/api/v1/kyc/start,Content-Type=application/json,{{uuid:uid}},{{uuid:rid}},flow-{{uuid:flow}},DM,app,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,error=null;data.flow_id=not_null,,brightmomey_uks_2,8000,kyc_pa_screening_results,flow_id=flow-{{uuid:flow}},screening_source=IDOLOGY_IQ_REUSED;screening_status=COMPLETED;pa_hit=True;pa_review_required=True;primary_provider=IDOLOGY;pa_request_id=3571500002;pa_pii_fingerprint=not_null;pa_hit_details=/OFAC SDN/;source_verification_pid=not_null,idology_kyc_verification,flow_id=flow-{{uuid:flow}},pa_determined=True;pa_restriction_present=True,uks_kyc_flow,flow_id=flow-{{uuid:flow}},status=PASSED,,,,/api/v1/users/get_user_profile_data/=1;/vendor/idology/verify=1,IDology PASS carrying a PA hit -> reuse marks pa_hit + review_required.
PA-002,,,,,/api/v1/users/get_user_profile_data/,usm-profile-default,,"status=200;raw={""bright_uid"":""{{uuid:uid}}"",""primary_email"":""john@example.com"",""primary_phonenum"":""+11234567890"",""first_name"":""John"",""last_name"":""Doe"",""date_of_birth"":""1990-05-15"",""is_kyc_verified"":false,""zip_code"":""78701"",""address"":{""address_type"":""bright"",""manual_address"":{""apt"":"""",""zip"":""78701"",""city"":""Austin"",""state"":{""long_name"":""Texas"",""short_name"":""TX""},""street"":""123 Main St""}},""ssn_encrypted"":""gAAAAABqQnJ4S7_gd7u2iaMV_8jNjzBVe4mkZcJVYDdxDbjrKQj6cvjhPR9Avyo2VKbuE8efqeBjeZIZugYZY23qE8EoKeh7fg=="",""ip"":""192.168.1.1"",""age"":35,""acquired_on"":""IOS_APP"",""is_deleted"":false,""error"":{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-003,5-BusinessE2E,e2e,flow-{{uuid:flow}},pa-screening,/vendor/idology/verify,idology-fail-clear,,"status=200;format=xml;raw=<?xml version=""1.0""?><response><id-number>3571500003</id-number><summary-result><key>id.failure</key><message>FAIL</message></summary-result><results><key>resultcode.ssn.does.not.match</key><message>SSN Does Not Match</message></results></response>",,POST,http://10.0.63.105/api/v1/kyc/start,Content-Type=application/json,{{uuid:uid}},{{uuid:rid}},flow-{{uuid:flow}},DM,app,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,error=null;data.flow_id=not_null,,brightmomey_uks_2,8000,kyc_pa_screening_results,flow_id=flow-{{uuid:flow}},screening_source=IDOLOGY_IQ_REUSED;screening_status=COMPLETED;pa_hit=False;primary_provider=LEXISNEXIS;pa_request_id=3571500003;pa_pii_fingerprint=not_null,idology_kyc_verification,flow_id=flow-{{uuid:flow}},pa_determined=True,uks_kyc_flow,flow_id=flow-{{uuid:flow}},status=PASSED,,,,/api/v1/users/get_user_profile_data/=2;/vendor/idology/verify=1;/LN.WebServices/api/Lists/Search=1,"IDology FAIL then LexisNexis PASS, PII unchanged -> reuse IDology's screening."
PA-003,,,,,/LN.WebServices/api/OAuth2/Token,ln-token,,"status=200;raw={""access_token"":""tok_{{uuid:tok}}"",""expires_in"":3600}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-003,,,,,/LN.WebServices/api/Lists/Search,ln-pass,,"status=200;raw={""Records"":[{""InstantIDIndividual"":{""ComprehensiveVerificationIndex"":50,""NameAddressSSN"":{""RiskCode"":12},""NameAddressPhone"":{""RiskCode"":12}}}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-003,,,,,/api/v1/users/get_user_profile_data/,usm-profile-default,,"status=200;raw={""bright_uid"":""{{uuid:uid}}"",""primary_email"":""john@example.com"",""primary_phonenum"":""+11234567890"",""first_name"":""John"",""last_name"":""Doe"",""date_of_birth"":""1990-05-15"",""is_kyc_verified"":false,""zip_code"":""78701"",""address"":{""address_type"":""bright"",""manual_address"":{""apt"":"""",""zip"":""78701"",""city"":""Austin"",""state"":{""long_name"":""Texas"",""short_name"":""TX""},""street"":""123 Main St""}},""ssn_encrypted"":""gAAAAABqQnJ4S7_gd7u2iaMV_8jNjzBVe4mkZcJVYDdxDbjrKQj6cvjhPR9Avyo2VKbuE8efqeBjeZIZugYZY23qE8EoKeh7fg=="",""ip"":""192.168.1.1"",""age"":35,""acquired_on"":""IOS_APP"",""is_deleted"":false,""error"":{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-004,5-BusinessE2E,e2e,flow-{{uuid:flow}},pa-screening,/vendor/idology/verify,idology-api-error,,"status=200;format=xml;raw=<?xml version=""1.0""?><response><error>Internal service failure</error></response>",,POST,http://10.0.63.105/api/v1/kyc/start,Content-Type=application/json,{{uuid:uid}},{{uuid:rid}},flow-{{uuid:flow}},DM,app,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,error=null;data.flow_id=not_null,,brightmomey_uks_2,8000,uks_kyc_flow,flow_id=flow-{{uuid:flow}},status=FAILED,kyc_pa_screening_results,flow_id=flow-{{uuid:flow}},__absent__=true,idology_kyc_verification,flow_id=flow-{{uuid:flow}},pa_determined=False;pa_restriction_present=False,,,,/api/v1/users/get_user_profile_data/=1;/vendor/idology/verify=1,IDology API error -> pa_determined=False recorded; FAILED flow gets no screening.
PA-004,,,,,/api/v1/users/get_user_profile_data/,usm-profile-default,,"status=200;raw={""bright_uid"":""{{uuid:uid}}"",""primary_email"":""john@example.com"",""primary_phonenum"":""+11234567890"",""first_name"":""John"",""last_name"":""Doe"",""date_of_birth"":""1990-05-15"",""is_kyc_verified"":false,""zip_code"":""78701"",""address"":{""address_type"":""bright"",""manual_address"":{""apt"":"""",""zip"":""78701"",""city"":""Austin"",""state"":{""long_name"":""Texas"",""short_name"":""TX""},""street"":""123 Main St""}},""ssn_encrypted"":""gAAAAABqQnJ4S7_gd7u2iaMV_8jNjzBVe4mkZcJVYDdxDbjrKQj6cvjhPR9Avyo2VKbuE8efqeBjeZIZugYZY23qE8EoKeh7fg=="",""ip"":""192.168.1.1"",""age"":35,""acquired_on"":""IOS_APP"",""is_deleted"":false,""error"":{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
